LinkName;XPath;Text;
;/html/body/table/tbody/tr[2]/td[3]/div[1]/h3[1];Loan overview;
Housing loan;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/font;Housing loan;
Flexcredit;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/table/tbody/tr/td/font;Flex Credit;
Student loan;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/table/tbody/tr/td/font;Student Loan;
A1 Car Credit;/html/body/table/tbody/tr[2]/td[3]/p[2];With A1 car credit you can buy a new or used car with hire purchase financing.;
Insurance;/html/body/table/tbody/tr/td/div[1]/h1;Insurance;
Endowment and pension insurance policies;/html/body/table/tbody/tr/td/div[1]/h1;Endowment and pension insurance policies;
Pension insurance;/html/body/table/tbody/tr/td/div[1]/h1;Selekta Eläketurva;
Forms;/html/body/table/tbody/tr/td/div[1]/h1;Selekta lomakkeet;
Shareholders' agreements;/html/body/table/tbody/tr/td/div[1]/h1;Endowment and pension insurance policies;
Selekta Capital;/html/body/table/tbody/tr/td/div[1]/font;U.S. residents;
Employee pension insurance;/html/body/table/tbody/tr[2]/td[3]/div[1]/h1;Employee pension insurance;
Information on services;/html/body/table/tbody/tr[2]/td[3]/div[1]/h1;Information on services;
;//*[@id='ios_products_and_terms']/h3;Products and terms;
Contact;/html/body/table/tbody/tr[2]/td[3]/div[1]/h1;Contact information;
;/html/body/table/tbody/tr[2]/td[3]/div[1]/h3;Your contact person;
Products and terms;/html/body/table/tbody/tr[2]/td[3]/div[1]/h1;Products and terms;
;//*[@id='product_information']/h3;Products and terms;
Customer Programme and Check-in;/html/body/table/tbody/tr[2]/td[3]/div[1]/h1;Customer benefits;
;/html/body/table/tbody/tr[2]/td[3]/div[1]/div/h3;Customer Programme;
Life events;/html/body/table/tbody/tr[2]/td[3]/div[1]/h1;Life events;
;//*[@id='life_events_information']/h3;Life events;
News archive;/html/body/table/tbody/tr[2]/td[3]/div[1]/h1;News archive;
Service fees;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/font;Service fees;
;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[2]/table/tbody/tr[2]/td/strong;You are charged for the services you use;
Security;/html/body/table/tbody/tr[2]/td[3]/div[1]/h1;Security;
Edit Netbank;/html/body/table/tbody/tr[2]/td[3]/div[1]/h1;Edit Netbank;
Greeting;/html/body/table/tbody/tr[2]/td[3]/div[1]/h1;Greeting;
;//*[@id='setgreeting']/h3;Edit greeting;
Add accounts and loans to Netbank;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/font;Adding accounts and loans to Netbank;
Default account;/html/body/table/tbody/tr[2]/td[3]/div[1]/h1;Default account;
;//*[@id='default_accounts']/h3;Select default account;
Account settings;/html/body/table/tbody/tr[2]/td[3]/h1;Account settings;
;//*[@id='assortedaccountlist_view']/h3[1];Current accounts;
Card settings;/html/body/table/tbody/tr[2]/td[3]/h1;Card settings;
;//*[@id='setting_cardlist_view']/h3[1];Combination cards;
Loan settings;/html/body/table/tbody/tr[2]/td[3]/h1;Loan settings;
;//*[@id='setting_loanlist_view']/h3;Loans;
Naming of investments;/html/body/table/tbody/tr[2]/td[3]/table/tbody/tr/td/div[1]/form/table/tbody/tr/td/font;Naming of investments;
Optional credit card services;/html/body/table/tbody/tr[2]/td[3]/h1;Optional credit card services;
;//*[@id='card_agreement_receipt']/h3;Optional credit card services;
Set commercial preferences in Netbank;/html/body/table/tbody/tr[2]/td[3]/div[1]/h1;Set commercial preferences in Netbank;
;//*[@id='null']/h3;Messages and offers;
/html/body/table/tbody/tr[2]/td[1]/div/div/a[11];/html/body/table/tbody/tr[2]/td[3]/h1;My shortcuts;
;//*[@id='shortcuts_edit']/h3;Edit shortcuts;
